historian,obj_type,count_coll
Aby Warburg,artifact,2
Aby Warburg,genre,3
Aby Warburg,person,3
Ellis Waterhouse,genre,1
Ellis Waterhouse,person,3
Ernst Steinmann,artifact,3
Ernst Steinmann,genre,4
Ernst Steinmann,person,5
Everett Fahy,artifact,4
Everett Fahy,genre,9
Everett Fahy,person,15
Federico Zeri,artifact,2
Federico Zeri,genre,4
Federico Zeri,person,9
Fritz Heinemann,genre,2
Fritz Heinemann,person,6
Gustav Ludwig,genre,1
Gustav Ludwig,person,5
John Pope-Hennessy,genre,10
John Pope-Hennessy,person,7
Julian Kliemann,artifact,3
Julian Kliemann,genre,11
Julian Kliemann,person,3
Kornél Fabriczy,genre,3
Kornél Fabriczy,person,6
Kurt Badt,genre,1
Kurt Badt,person,6
Leo Steinberg,artifact,6
Leo Steinberg,genre,5
Leo Steinberg,person,3
Luisa Vertova,genre,4
Luisa Vertova,person,11
Richard Krautheimer,artifact,1
Richard Krautheimer,genre,4
Richard Krautheimer,person,2
Stefano Tumidei,artifact,1
Stefano Tumidei,genre,3
Stefano Tumidei,person,5
Ulrich Middeldorf,genre,10
Ulrich Middeldorf,person,5
Werner Cohn,genre,1
Werner Cohn,person,7
Wolfgang Lotz,artifact,1
Wolfgang Lotz,genre,4
Wolfgang Lotz,person,8
